CODICE_SCUOLA;denominazione;tipoDiIstruzione;CODICE_ISTITUTO;denominazioneIstituto;indirizzo;comune;provincia;cap;email;telefono;latitudine;longitudine;scuolaStatale;scuolaParitaria
RMPLO35009;A. RUIZ LICEO LINGUISTICO;PL;RMPLO35009;A. RUIZ LICEO LINGUISTICO;VIA DELL'IMBRECCIATO, 127;ROMA;ROMA;00100;istitutoparitarioruiz@virgilio.it;06/5584948     ;41.84992;12.44566;0;1
RMPS72500B;A. RUIZ LICEO SCIENTIFICO;PS;RMPS72500B;A. RUIZ LICEO SCIENTIFICO;VIA DELL'IMBRECCIATO, 127;ROMA;ROMA;00100;istitutoparitarioruiz@virgilio.it;065584948      ;41.84992;12.44566;0;1
RMPC17000D;ALBERTELLI;PC;RMPC17000D;ALBERTELLI;VIA    D. MANIN 72;ROMA;ROMA;00185;RMPC17000D@istruzione.it;0612112752;41.89943;12.49981;1;0
RMMM8FP01B;ALESSANDRO MAGNO;MM;RMIC8FP00A;ALESSANDRO MAGNO;VIA STESICORO, 115;ROMA;ROMA;00125;RMIC8FP00A@istruzione.it;0652360537;41.76164;12.36959;1;0
RMRF9P500F;ALFRED NOBEL SRL;RF;RMRF9P500F;ALFRED NOBEL SRL;v. Vito Giuseppe Galati, 99/b;ROMA;ROMA;00155;ISTITUTOALFREDNOBEL@GMAIL.COM;0640802091     ;41.91224;12.57028;0;1
RMTF145002;ALFRED NOBEL SRL;TF;RMTF145002;ALFRED NOBEL SRL;VIA VITO GIUSEPPE GALATI 99;ROMA;ROMA;00155;ISTITUTOALFREDNOBEL@GMAIL.COM;0640802091     ;41.91184;12.57069;0;1
RMRH04000N;AMERIGO VESPUCCI;RH;RMRH04000N;AMERIGO VESPUCCI;VIA FACCHINETTI, 42;ROMA;ROMA;00159;RMRH04000N@istruzione.it;0643599154;41.90775;12.54745;1;0
RMPC030006;ANCO MARZIO;PC;RMPC030006;ANCO MARZIO;VIA CAPO PALINURO, 72;ROMA;ROMA;00122;RMPC030006@istruzione.it;06121122245;41.73761;12.28746;1;0
RMMM81501P;ANGELICA BALABANOFF;MM;RMIC81500N;"""ANGELICA BALABANOFF""";VIA  A. BALABANOFF, 62;ROMA;ROMA;00155;RMIC81500N@istruzione.it;064070038;41.91662;12.57386;1;0
RMTD67500X;ANIENE - AMMINISTRAZIONE, FINANZA E MARKETING - SIA - RIM;TD;RMTD67500X;ANIENE - AMMINISTRAZIONE, FINANZA E MARKETING - SIA - RIM;VIA TIBURTINA 994;ROMA;ROMA;00156;direzione@istitutoaniene.it;0695020221     ;41.92831;12.57768;0;1
RMTL08500Q;ANIENE - COSTRUZIONI, AMBIENTE E TERRITORIO;TL;RMTL08500Q;ANIENE - COSTRUZIONI, AMBIENTE E TERRITORIO;VIA TIBURTINA, 994;ROMA;ROMA;00156;direzione@istitutoaniene.it;0695020221     ;41.9287;12.57668;0;1
RMTFNG5000;ANIENE - SISTEMA MODA -MICOL FONTANA;TF;RMTFNG5000;ANIENE - SISTEMA MODA -MICOL FONTANA;Via Tiburtina, 994;ROMA;ROMA;00156;direzione@istitutoaniene.it;06 95020221    ;41.9283;12.57821;0;1
RMTN8V500Q;ANIENE - TURISMO;TN;RMTN8V500Q;ANIENE - TURISMO;VIA TIBURTINA, 994;ROMA;ROMA;00156;DIREZIONE@ISTITUTOANIENE.IT;0695020221     ;41.9287;12.57668;0;1
RMTAPV5005;ANIENE -AGRARIA AGROALIMENTARE E AGROINDUSTRIA;TA;RMTAPV5005;ANIENE -AGRARIA AGROALIMENTARE E AGROINDUSTRIA;VIA TIBURTINA, 994;ROMA;ROMA;00156;direzione@istitutoaniene.it;0695020221     ;41.92875;12.57681;0;1
RM1MMF500S;ANNA MICHELI;MM;RM1MMF500S;ANNA MICHELI;V. LUDOVICA ALBERTONI 41;ROMA;ROMA;00152;segreteria@annamicheli.it;06538292       ;41.87856;12.44391;0;1
RMMM8B801R;ANTONIO GRAMSCI;MM;RMIC8B800Q;I.C. ANTONIO GRAMSCI;VIA        AFFOGALASINO        120;ROMA;ROMA;00148;RMIC8B800Q@istruzione.it;066530601;41.85398;12.43506;1;0
RMPS010004;ANTONIO LABRIOLA;PS;RMPS010004;ANTONIO LABRIOLA;VIA        CAPO SPERONE, 50;ROMA;ROMA;00122;RMPS010004@istruzione.it;121128005;41.74061;12.28778;1;0
RMPS094019;ARCHIMEDE;PS;RMIS09400V;PACINOTTI - ARCHIMEDE;VIA MONTAIONE 15;ROMA;ROMA;00139;RMIS09400V@istruzione.it;06121123545;41.949;12.51417;1;0
RMMM848012;ARIOSTO;MM;RMIC848001;VIA L. RIZZO, 1;VIA        L. RIZZO            1;ROMA;ROMA;00136;RMIC848001@istruzione.it;0639720006;41.90984;12.44742;1;0
RMPS50000T;ARISTOTELE;PS;RMPS50000T;ARISTOTELE;VIA DEI SOMMOZZATORI 50;ROMA;ROMA;00143;RMPS50000T@istruzione.it;06121123600;41.82201;12.48363;1;0
RMTF02000R;ARMELLINI;TF;RMTF02000R;ARMELLINI;VIA        PLACIDO RICCARDI 13;ROMA;ROMA;00146;RMTF02000R@istruzione.it;06121127360;41.85604;12.47638;1;0
RMPC04000R;AUGUSTO;PC;RMPC04000R;AUGUSTO;VIA        GELA 14;ROMA;ROMA;00182;RMPC04000R@istruzione.it;06121124905;41.87821;12.51973;1;0
RMPS030009;AVOGADRO;PS;RMPS030009;AVOGADRO;VIA        BRENTA 26;ROMA;ROMA;00198;RMPS030009@istruzione.it;06121125905;41.91804;12.50302;1;0
RMPSI25002;Aurora Institute High School - Liceo Linguistico ;PS;RMPSI25002;Aurora Institute High School - Liceo Linguistico ;Via Giulio Bertoni n.76;ROMA;ROMA;00124;aurorainstitute1@gmail.com;;;;0;1
RMMM86101C;BATTISTI;MM;RMIC86100B;I.C.INDRO MONTANELLI;VIA        DIVISIONE TORINO    119;ROMA;ROMA;00143;RMIC86100B@istruzione.it;065010536;41.82066;12.48706;1;0
RMMM8GG012;BELLINI VINCENZO;MM;RMIC8GG001;IC PARCO DEGLI ACQUEDOTTI;CIRC.NE TUSCOLANA, 59/61;ROMA;ROMA;00174;RMIC8GG001@istruzione.it;067221744;41.84977;12.56579;1;0
RMPS11301D;BENEDETTO CROCE;PS;RMIS113003;CROCE-ALERAMO;VIALE BATTISTA BARDANZELLU 7;ROMA;ROMA;00155;RMIS113003@istruzione.it;06121122925;41.91482;12.57109;1;0
RMPC05000B;BENEDETTO DA NORCIA;PC;RMPC05000B;BENEDETTO DA NORCIA;VIA SARACINESCO N. 18;ROMA;ROMA;00171;RMPC05000B@istruzione.it;06121123125;41.88968;12.55863;1;0
RMPC48000P;BERTRAND RUSSELL;PC;RMPC48000P;BERTRAND RUSSELL;VIA TUSCOLANA 208;ROMA;ROMA;00182;RMPC48000P@istruzione.it;06121123005;41.87883;12.52276;1;0
RMTF123016;BIAGIO PASCAL;TF;RMIS12300N;BIAGIO PASCAL;VIA        BREMBIO 97;ROMA;ROMA;00188;RMIS12300N@istruzione.it;06121124205;41.9957;12.48844;1;0
RMTL03401X;BOAGA;TL;RMIS034007;GIORGIO  AMBROSOLI;VIALE  DELLA  PRIMAVERA, 207;ROMA;ROMA;00172;RMIS034007@istruzione.it;062415139;41.88204;12.56099;1;0
RMMM8BK016;BORSI;MM;RMIC8BK005;"I.C.S.""VIA TIBURTINA ANTICA,25""";VIA        TIBURTINA ANTICA    25;ROMA;ROMA;00185;RMIC8BK005@istruzione.it;06491777;41.89746;12.512;1;0
RMTD03401D;BOTTICELLI;TD;RMIS034007;GIORGIO  AMBROSOLI;VIALE   DELLA   PRIMAVERA,  207;ROMA;ROMA;00172;RMIS034007@istruzione.it;06121122725;41.88204;12.56099;1;0
RMMM8GK01V;BRAMANTE;MM;RMIC8GK00T;I.C. LARGO S.PIO V;L.GO S.PIO V  20;ROMA;ROMA;00165;RMIC8GK00T@istruzione.it;0666000096;41.89601;12.43172;1;0
RMMM819012;BUONARROTI;MM;RMIC819001;REGINA ELENA;VIA PUGLIE, 31;ROMA;ROMA;00187;RMIC819001@istruzione.it;0642814655;41.91019;12.49535;1;0
RMTN124513;C. COLOMBO SERALE;TN;RMTN12401N;CRISTOFORO COLOMBO;VIA PANISPERNA, 255;ROMA;ROMA;00184;RMIS12400D@istruzione.it;064818772;41.89612;12.48954;1;0
RMPM040001;CAETANI;PM;RMPM040001;CAETANI;VIALE      MAZZINI 36;ROMA;ROMA;00195;RMPM040001@istruzione.it;063242836;41.91667;12.46453;1;0
RMMM8FN01Q;CAIO DUILIO;MM;RMIC8FN00P;IC VIALE VEGA;V.LE VEGA, 91;ROMA;ROMA;00122;RMIC8FN00P@istruzione.it;0656304550;41.72538;12.2965;1;0
RMPS05000E;CANNIZZARO;PS;RMPS05000E;CANNIZZARO;VIALE DELLA CIVILTA'DEL LAVORO 2/D;ROMA;ROMA;00144;RMPS05000E@istruzione.it;06121126585;41.8363;12.46603;1;0
RMMM805014;CARLO CATTANEO;MM;RMIC805003;"""ELSA MORANTE""";VIA ZABAGLIA, 27/A;ROMA;ROMA;00153;RMIC805003@istruzione.it;065740751;41.8771;12.47611;1;0
RMMM8GE01A;CARLO URBANI;MM;RMIC8GE009;IC VIA CENEDA;VIA CENEDA 26- SUCCURSALE: CAMILLA 75;ROMA;ROMA;00183;RMIC8GE009@istruzione.it;0677209730;41.8806;12.51145;1;0
RMPM03301V;CARLO URBANI;PM;RMIS03300B;CARLO URBANI;VIA DELL'IDROSCALO;ROMA;ROMA;00121;RMIS03300B@istruzione.it;06121126360;;;1;0
RMTF11401B;CARTESIO;TF;RMIS11400V;EVANGELISTA TORRICELLI;VIA CESARE LOMBROSO 120;ROMA;ROMA;00168;RMIS11400V@istruzione.it;06121123400;41.93333;12.41435;1;0
RMPSAD500D;CAVANIS;PS;RMPSAD500D;CAVANIS;Via Casilina 600;ROMA;ROMA;00177;liceo.cavanis@gmail.com;0686927541     ;41.87737;12.54928;0;1
RMPS060005;CAVOUR;PS;RMPS060005;CAVOUR;VIA        DELLE CARINE 1;ROMA;ROMA;00184;RMPS060005@istruzione.it;06121122045;41.89275;12.49129;1;0
RMTD10801T;CECCHERELLI;TD;RMIS10800G;VIA SILVESTRI, 301;VIA DI BRAVETTA 383;ROMA;ROMA;00164;RMIS10800G@istruzione.it;06 121124004;41.87567;12.42722;1;0
RMMM8GH01T;CECILIO SECONDO;MM;RMIC8GH00R;IC VIA DELL'AEROPORTO;VIA DELL'AEROPORTO 115;ROMA;ROMA;00175;RMIC8GH00R@istruzione.it;067615957;41.8636;12.55691;1;0
RMMM856011;CERVI F.LLI;MM;RMIC85600X;I.C. FRATELLI CERVI;VIA        CASETTA MATTEI      279;ROMA;ROMA;00148;RMIC85600X@istruzione.it;066555010;41.8611;12.4198;1;0
RM1M04300B;CESARE BARONIO;MM;RM1M04300B;CESARE BARONIO;VIA DELLE SETTE CHIESE 109;ROMA;ROMA;00145;SEGRETERIA@SCUOLAMEDIACESAREBARONIO.ORG;065110358      ;41.8603;12.49353;0;1
RMRV089015;CINETV ROSSELLINI SERV. CULT. E SPETT.;RV;RMIS08900B;"CINE TV ""ROBERTO ROSSELLINI""";VIA DELLA VASCA NAVALE 58;ROMA;ROMA;00146;RMIS08900B@istruzione.it;06121125840;41.85583;12.46875;1;0
RMPS03500C;COMUNITA' EBRAICA DI ROMA L.S.SP. LEVI;PS;RMPS03500C;COMUNITA' EBRAICA DI ROMA L.S.SP. LEVI;VIA PORTICO D'OTTAVIA 73;ROMA;ROMA;00186;liceo.levi@romaebraica.it;066833884      ;41.89316;12.47687;0;1
RM1M057009;COMUNITA' EBRAICA DI ROMA SC.A.SACERDOTI;MM;RM1M057009;COMUNITA' EBRAICA DI ROMA SC.A.SACERDOTI;VIA PORTICO D'OTTAVIA, 73;ROMA;ROMA;00186;medie.sacerdoti@romaebraica.it;066879673      ;41.89316;12.47687;0;1
RMPM00500N;COMUNITA' EBRAICA ROMA RENZO LEVI- LICEO SCIENZE SOCIALI;PM;RMPM00500N;COMUNITA' EBRAICA ROMA RENZO LEVI- LICEO SCIENZE SOCIALI;DA INSERIRE;ROMA;ROMA;00186;liceo.levi@romaebraica.it;06  6833884    ;41.89259;12.47752;0;1
RMPCT9500V;CONGREGAZIONE DELLE PICCOLE ANCELLE DEL SACRO CUORE;PC;RMPCT9500V;CONGREGAZIONE DELLE PICCOLE ANCELLE DEL SACRO CUORE;VIA DELLA TENUTA DI SANT'AGATA 1;ROMA;ROMA;00135;ISTITUTOSACROCUORE@PICCOLEANCELLE.COM;063054767      ;;;0;1
RMMM67000C;CPIA 1;MM;RMMM67000C;CPIA 1;VIA C.A CORTINA, 70;ROMA;ROMA;00159;RMMM67000C@istruzione.it;0643598619;41.9026;12.55073;1;0
RMMM671008;CPIA 2 - ITALO CALVINO;MM;RMMM671008;CPIA 2 - ITALO CALVINO;VIA VITAGLIANO PONTI, 30;ROMA;ROMA;00169;RMMM671008@istruzione.it;06261801;41.86974;12.5786;1;0
RMMM672004;CPIA 3;MM;RMMM672004;CPIA 3;CORSO VITTORIO EMANUELE II, 217;ROMA;ROMA;00186;RMMM672004@istruzione.it;06121125421;41.89757;12.47043;1;0
RMMM67300X;CPIA 4;MM;RMMM67300X;CPIA 4;VIA PALESTRO N. 38;ROMA;ROMA;00185;RMMM67300X@istruzione.it;064453994;41.90516;12.50428;1;0
RMTN12401N;CRISTOFORO COLOMBO;TN;RMIS12400D;IIS CRISTOFORO COLOMBO;VIA PANISPERNA, 255;ROMA;ROMA;00184;RMIS12400D@istruzione.it;06121128205;41.8961;12.48953;1;0
RMMM8BQ019;D.R. CHIODI;MM;RMIC8BQ008;CHIODI DIONIGIO ROMEO;VIA APPIANO, 15;ROMA;ROMA;00136;RMIC8BQ008@istruzione.it;0639736694;41.91301;12.44047;1;0
RMTD081013;DA VERRAZANO;TD;RMIS08100R;ENZO FERRARI;VIA  CONTARDO FERRINI  N. 83- TEL. 06 121122505;ROMA;ROMA;00173;RMIS08100R@istruzione.it;06121122505;41.85735;12.57118;1;0
RMSL3M5001;DAF Dance Art Faculty;SL;RMSL3M5001;DAF Dance Art Faculty;Via di Pietralata 159/A;ROMA;ROMA;00158;lomelefeliciana@gmail.com;;41.92613;12.53921;0;1
RMMM82901L;DALLA CHIESA;MM;RMIC82900G;I.C. CARLO ALBERTO DALLA CHIESA;VIA MARIO RIGAMONTI 10;ROMA;ROMA;00142;RMIC82900G@istruzione.it;065036231;41.83721;12.50516;1;0
RMMM81401V;DANIELE MANIN;MM;RMIC81400T;DANIELE MANIN;VIA DELL'OLMATA, 6;ROMA;ROMA;00184;RMIC81400T@istruzione.it;0648907867;41.89653;12.49812;1;0
RMMM84501E;DANTE ALIGHIERI;MM;RMIC84500D;DANTE ALIGHIERI;VIA CASSIODORO 2/A;ROMA;ROMA;00193;RMIC84500D@istruzione.it;066878011;41.9065;12.46735;1;0
RMPC128014;DANTE ALIGHIERI;PC;RMIS12800R;"POLO LICEALE ""ALIGHIERI - CARAVILLANI""";VIA ENNIO QUIRINO VISCONTI 13;ROMA;ROMA;00193;RMIS12800R@istruzione.it;06121124725;41.90815;12.47132;1;0
RMRI11901N;DE AMICIS CATTANEO;RI;RMIS119002;DE AMICIS - CATTANEO;VIA         GALVANI 6;ROMA;ROMA;00153;RMIS119002@istruzione.it;121126645;41.87803;12.47752;1;0
RMSL097524;DE CHIRICO - PERC. II LIV.;SL;RMSL09701N;I.I.S. CONFALONIERI DE CHIRICO;;ROMA;ROMA;;RMIS09700A@istruzione.it;;41.92283;12.50143;1;0
RMMM86701B;DE FILIPPO;MM;RMIC86700A;"STATALE ""PUBLIO VIBIO MARIANO""";VIA  AL SESTO MIGLIO     78/A;ROMA;ROMA;00189;RMIC86700A@istruzione.it;0633264721;41.96964;12.44379;1;0
RMMM8CV01X;DELEDDA;MM;RMIC8CV00V;"""GINO STRADA""";VIA FORTIFIOCCA, 84;ROMA;ROMA;00179;RMIC8CV00V@istruzione.it;067887194;41.87064;12.52251;1;0
RMRI03650V;DIAZ;RI;RMRI03601E;A. DIAZ;VIA TARANTO;ROMA;ROMA;00182;RMIS03600V@istruzione.it;;;;1;0
RMMM869013;DOMENICO PURIFICATO;MM;RMIC869002;DOMENICO PURIFICATO;VIA DELLA  FONTE MERAVIGLIOSA  79;ROMA;ROMA;00143;RMIC869002@istruzione.it;065040904;41.82541;12.50832;1;0
RMRA06101G;DOMIZIA LUCILLA;RA;RMIS06100G;VIA DOMIZIA LUCILLA;VIA  DOMIZIA  LUCILLA , 76;ROMA;ROMA;00136;RMIS06100G@istruzione.it;0639729391;41.90694;12.44102;1;0
RMMM8G501A;DON GIUSEPPE MOROSINI;MM;RMIC8G5009;IC VIA MAFFI;VIA VAL FAVARA,31;ROMA;ROMA;00168;RMIC8G5009@istruzione.it;0635504392;41.92421;12.41672;1;0
RMMM8E5015;DONATELLO;MM;RMIC8E5004;I.C. DONATELLO;VIA        GROTTE CELONI       20;ROMA;ROMA;00133;RMIC8E5004@istruzione.it;062050849;41.86004;12.64224;1;0
RMTF040002;E. FERMI;TF;RMTF040002;E. FERMI;VIA        TRIONFALE 8737;ROMA;ROMA;00135;RMTF040002@istruzione.it;0630600237;41.9403;12.42313;1;0
RMTF10901X;EINSTEIN;TF;RMIS10900B;EINSTEIN - BACHELET;VIA PASQUALE II 237;ROMA;ROMA;00168;RMIS10900B@istruzione.it;06121124405;41.90818;12.409;1;0
RMTA06000E;EMILIO SERENI;TA;RMTA06000E;EMILIO SERENI;VIA PRENESTINA KM.14,00;ROMA;ROMA;00132;RMTA06000E@istruzione.it;0622427027;41.89189;12.64935;1;0
RMMM8E701R;ENRICO MEDI;MM;RMIC8E700Q;IC VIA ACQUARONI;VIA ACQUARONI 65;ROMA;ROMA;00133;RMIC8E700Q@istruzione.it;062054196;41.8661;12.64398;1;0
RMMM8ED019;ETTORE MAJORANA;MM;RMIC8ED008;IC PIAGET-MAJORANA;PIAZZA     MINUCCIANO         33;ROMA;ROMA;00139;RMIC8ED008@istruzione.it;0688386350;41.95306;12.51479;1;0
RMPS37000A;ETTORE MAJORANA;PS;RMPS37000A;ETTORE MAJORANA;VIA        C. AVOLIO, 111;ROMA;ROMA;00128;RMPS37000A@istruzione.it;06121127420;41.79034;12.44267;1;0
RMRI03401V;EUROPA;RI;RMIS034007;GIORGIO  AMBROSOLI;VIA ROMOLO TRINCHERI, 49;ROMA;ROMA;00172;RMIS034007@istruzione.it;062155451;41.8875;12.5584;1;0
RMPS114019;EVANGELISTA TORRICELLI;PS;RMIS11400V;EVANGELISTA TORRICELLI;VIA FORTE BRASCHI, 99;ROMA;ROMA;00167;RMIS11400V@istruzione.it;06121127200;41.91261;12.41921;1;0
RMTB127018;F.DE PINEDO;TB;RMIS127001;F.DE PINEDO- M. COLONNA;VIA FRANCESCO MORANDINI 30;ROMA;ROMA;00142;RMIS127001@istruzione.it;06121127000;41.82921;12.49737;1;0
RMRC03201E;F.FERRARA;RC;RMIS03200G;"I.I.S. ""TOMMASO SALVINI""";VIA        CAPOSILE 1;ROMA;ROMA;00195;RMIS03200G@istruzione.it;06121122985;41.91946;12.46414;1;0
RMMM8BS011;FABRIANI S.M. PER SORDOMUTI;MM;RMIC8BS00X;ISTITUTO COMPRENSIVO PER SORDI;VICOLO DEL CASALE LUMBROSO, 129;ROMA;ROMA;00166;RMIC8BS00X@istruzione.it;061211127720;41.86708;12.37183;1;0
RMMM8FV01Q;FABRIZIO DE ANDRE';MM;RMIC8FV00P;I.C. VIA FABIOLA;VIA FABIOLA 15;ROMA;ROMA;00152;RMIC8FV00P@istruzione.it;0658202664;41.87622;12.44924;1;0
RMMM804018;FALCONE E BORSELLINO;MM;RMIC804007;I.C. FALCONE E BORSELLINO;VIA G. DA PROCIDA, 16;ROMA;ROMA;00162;RMIC804007@istruzione.it;0644266693;41.91348;12.52519;1;0
RMMM834014;FANELLI;MM;RMIC834003;FANELLI - F.MARINI;VIA        P. DUCATI;ROMA;ROMA;00119;RMIC834003@istruzione.it;065652066;41.76151;12.30269;1;0
RMMM8EQ01L;FEDERICO FELLINI;MM;RMIC8EQ00G;"IC ""ENNIO MORRICONE""";VIA  BELFORTE DEL CHIENTI, 24;ROMA;ROMA;00156;RMIC8EQ00G@istruzione.it;0641217716;41.94428;12.57513;1;0
RMPS090001;FEDERIGO ENRIQUES;PS;RMPS090001;FEDERIGO ENRIQUES;VIA FEDERICO PAOLINI 196;ROMA;ROMA;00122;RMPS090001@istruzione.it;06121126340;41.73752;12.29085;1;0
RMTD10301P;FERDINANDO MAGELLANO;TD;RMIS10300C;GIULIO VERNE - I.I.S.VIA DI SAPONARA 150;VIA A.DA GARESSIO, 109;ROMA;ROMA;00126;RMIS10300C@istruzione.it;06121127700;41.78654;12.35265;1;0
RMTF08401R;FERRARIS;TF;RMIS084008;FEDERICO CAFFE';VIA FONTEIANA 111;ROMA;ROMA;00152;RMIS084008@istruzione.it;06121125925;41.87903;12.45421;1;0
RMPS10000A;FRANCESCO D'ASSISI;PS;RMPS10000A;FRANCESCO D'ASSISI;VIALE      DELLA PRIMAVERA 207;ROMA;ROMA;00172;RMPS10000A@istruzione.it;06121122745;41.88204;12.56099;1;0
RMPC09000T;FRANCESCO VIVONA;PC;RMPC09000T;FRANCESCO VIVONA;VIA DELLA FISICA 14 (EUR);ROMA;ROMA;00144;RMPC09000T@istruzione.it;06121123085;41.83355;12.46541;1;0
RMMM855015;FRANCO FERRARA-SCUOLA SEC.I GR.;MM;RMIC855004;IC MARCO POLO;VIA PATERNO', 22;ROMA;ROMA;00133;RMIC855004@istruzione.it;0620760256;41.85827;12.67171;1;0
RMMM8G1013;FRANK;MM;RMIC8G1002;IC VIA CORNELIA, 73;VIA        CORNELIA, 1/3;ROMA;ROMA;00166;RMIC8G1002@istruzione.it;066241794;41.91033;12.39913;1;0
RMPSII500C;G. D'ANNUNZIO;PS;RMPSII500C;G. D'ANNUNZIO;Via O. Panvinio 11/13;ROMA;ROMA;00162;info@istitutogabrieledannunzio.it;068550148      ;41.92287;12.52086;0;1
RMPM4G5004;G. D'ANNUNZIO SCIENZE UMANE - ECONOMICO-SOCIALE;PM;RMPM4G5004;G. D'ANNUNZIO SCIENZE UMANE - ECONOMICO-SOCIALE;Via O. Panvinio 11/13;ROMA;ROMA;00162;info@istitutogabrieledannunzio.it;;41.92285;12.52087;0;1
RMPC06201P;G. DE SANCTIS LICEO CLASSICO LINGUISTICO;PC;RMIS06200B;DE SANCTIS;VIA CASSIA,  931;ROMA;ROMA;00189;RMIS06200B@istruzione.it;06121122945;41.97213;12.43265;1;0
RMPS06201T;G. DE SANCTIS LICEO SCIENTIFICO;PS;RMIS06200B;DE SANCTIS;VIA CASSIA, 931;ROMA;ROMA;00189;RMIS06200B@istruzione.it;06121122945;41.97213;12.43265;1;0
